ID,Requisito Consolidado,Nome (Resumido),Nome Exato do Documento,Localização (Artigo / Requisito / Secção)
RF-01,"Gestão de Prontuário: Registo obrigatório (identificação, queixa, procedimentos, evolução e encaminhamentos).",resolucao2009-01.pdfEspecificacao_de_Requisitos_Base_Legal.md,Resolução CFP N° 001/2009Especificação de Requisitos - Conformidade Legal e Normativa (PsiSoft),Art. 1º e Art. 2ºRequisito RF-L01
RF-02,Acesso e Exportação: Interface para o titular visualizar e exportar a íntegra das informações clínicas.,Lei consolidada_adriana.pdfresolucao2009-01.pdf,Lei Geral de Proteção de Dados Pessoais (LGPD)Resolução CFP N° 001/2009,"Art. 18, Inciso IIArt. 2º, Inciso II"
RF-03,Gestão de Consentimento: Exigir aceite de TCLE antes da coleta de dados sensíveis com registo de log.,Lei consolidada_adriana.pdfEspecificacao_de_Requisitos_Base_Legal.md,Lei Geral de Proteção de Dados Pessoais (LGPD)Especificação de Requisitos - Conformidade Legal e Normativa (PsiSoft),Art. 8ºRequisito RF-L03
RF-04,Agendamento Autónomo: Marcação de consultas pelo paciente via agenda digital sem intermediação.,Especificacao_de_Requisitos_Paciente.mdAnálise Amplimed.md,Especificação dos Requisitos do Sistema (Visão Pacientes)Especificação dos Requisitos do Sistema Análogo,Requisito RF-P01Requisito RF-A02
RF-05,Validação e-Psi: Validação e exibição do registo do profissional para atendimentos online.,RESOLUÇÃO-Nº-11-DE-11-DE-MAIO-DE-2018.pdfEspecificacao_de_Requisitos_Base_Legal.md,Resolução CFP Nº 11 de 11 de Maio de 2018Especificação de Requisitos - Conformidade Legal e Normativa (PsiSoft),Art. 3ºRequisito RF-L04
RF-06,Ferramentas TCC Core: Implementação de cartões de enfrentamento e registo de pensamentos/sentimentos.,Especificação de Requisito Paciente.md,Especificação de Requisitos - Sistema para Psicólogos e Pacientes,Requisitos RF01 e RF02
RF-07,Escalas Clínicas: Implementação de ferramentas visuais (SUDS e Contínuo Cognitivo).,Especificação de Requisito Paciente.md,Especificação de Requisitos - Sistema para Psicólogos e Pacientes,Requisito RF04
RF-08,Documentação e IRS: Emissão de recibos para IRS e histórico de consultas passadas.,Especificacao_de_Requisitos_Paciente.md,Especificação dos Requisitos do Sistema (Visão Pacientes),Requisito RF-P03
RF-09,Lembretes Automatizados: Envio de avisos de sessão via WhatsApp com 24h de antecedência.,Especificacao_de_Requisitos_Paciente.mdAnálise Amplimed.md,Especificação dos Requisitos do Sistema (Visão Pacientes)Especificação dos Requisitos do Sistema Análogo,Requisito RF-P04Requisito RF-A05
RF-10,Direitos do Titular: Interface para solicitação de correção de dados inexatos ou desatualizados.,Lei consolidada_adriana.pdfEspecificacao_de_Requisitos_Base_Legal.md,Lei Geral de Proteção de Dados Pessoais (LGPD)Especificação de Requisitos - Conformidade Legal e Normativa (PsiSoft),"Art. 18, Inciso IIIRequisito RF-L05"
RF-11,Tarefas de Casa: Área específica para o psicólogo atribuir lições e o paciente respondê-las.,Especificação de Requisito Paciente.md,Especificação de Requisitos - Sistema para Psicólogos e Pacientes,Requisito RF03
RF-12,"Apoio com IA: Chatbot que emula o modo de fala do psicólogo para suporte e ensaios, sob supervisão.",Especificação de Requisito Paciente.mdEspecificacao_de_Requisitos_Base_Legal.md,Especificação de Requisitos - Sistema para Psicólogos e PacientesEspecificação de Requisitos - Conformidade Legal,Requisito RF05Requisito RF-L06
RF-13,Psicoeducação e Liberação: Repositório de conteúdos com liberação gradual pelo terapeuta.,Especificação de Requisito Paciente.md,Especificação de Requisitos - Sistema para Psicólogos e Pacientes,Requisitos RF06 e RF07
RF-14,Download de Documentos: Possibilidade de o paciente baixar laudos e outros documentos oficiais.,Especificação de Requisito Paciente.md,Especificação de Requisitos - Sistema para Psicólogos e Pacientes,Requisito RF09
RF-15,Interface Infantil: Opção de interface lúdica caso o paciente seja uma criança.,Especificação de Requisito Paciente.md,Especificação de Requisitos - Sistema para Psicólogos e Pacientes,Requisito RF10
RF-16,Cancelamento Ágil: Cancelamento de consultas com visualização imediata de novos horários.,Especificacao_de_Requisitos_Paciente.mdAnálise Amplimed.md,Especificação dos Requisitos do Sistema (Visão Pacientes)Especificação dos Requisitos do Sistema Análogo,Requisito RF-P02Requisito RF-A03
RNF-01,Criptografia: Proteção de dados sensíveis de saúde em trânsito e em repouso.,Lei consolidada_adriana.pdfLevantamento de Requisitos - Questionário Psicóloga.md,Lei Geral de Proteção de Dados Pessoais (LGPD)ERS - PsiSoft,"Art. 6º, Inciso VIIRestrição REST-03"
RNF-02,Autenticação MFA: Suporte a biometria ou PIN para acesso em dispositivos móveis.,sd_iso_27002_controles_seguranca_informacao.pdfLevantamento de Requisitos - Questionário Psicóloga.md,ISO/IEC 27002:2022ERS - PsiSoft,Controlos 5.17 e 8.5Requisito RNF-04
RNF-03,Backup e Disponibilidade: Rotinas automáticas de backup e alta disponibilidade.,sd_iso_27002_controles_seguranca_informacao.pdfLevantamento de Requisitos - Questionário Psicóloga.md,ISO/IEC 27002:2022ERS - PsiSoft,Controlo 8.13Requisito RNF-05
RNF-04,Usabilidade: Interface intuitiva com o mínimo de cliques para registo diário.,Levantamento de Requisitos - Questionário Psicóloga.md,ERS - PsiSoft,Requisito RNF-01 (Simplicidade)
RNF-05,Responsividade: Interface adaptada para smartphones e tablets (Mobile-First).,Levantamento de Requisitos - Questionário Psicóloga.mdEspecificacao_de_Requisitos_Paciente.md,ERS - PsiSoftEspecificação dos Requisitos (Visão Pacientes),Requisito RNF-02Restrição R-P02
RNF-06,Senha Secundária: Senha diferenciada para aceder ou baixar documentos sensíveis (laudos).,Especificação de Requisito Paciente.md,Especificação de Requisitos - Sistema para Psicólogos e Pacientes,Requisito RNF02
RNF-07,Controlo de Acesso: Impedir o uso de ferramentas terapêuticas por pessoas que não sejam pacientes ativos.,Especificação de Requisito Paciente.md,Especificação de Requisitos - Sistema para Psicólogos e Pacientes,Requisito RNF05
RN-01,Guarda Documental: Impedir exclusão de prontuários pelo período mínimo de 5 anos.,resolucao2009-01.pdfLevantamento de Requisitos - Questionário Psicóloga.md,Resolução CFP N° 001/2009ERS - PsiSoft,Art. 4ºRestrição REST-02
RN-02,Sigilo na Comunicação: Proibição de conteúdos clínicos via WhatsApp (apenas dados administrativos).,Especificacao_de_Requisitos_Base_Legal.mdcodigo-etica-2005.pdf,Especificação de Requisitos - Conformidade LegalCódigo de Ética Profissional do Psicólogo,Restrição R-L01Art. 9º
RN-03,Anonimização de Agenda: Ocultação de dados de terceiros na visualização da agenda.,Especificacao_de_Requisitos_Paciente.mdEspecificacao_de_Requisitos_Base_Legal.md,Especificação dos Requisitos (Visão Pacientes)Especificação de Requisitos - Conformidade Legal,Restrição R-P01Restrição R-L02
RN-04,Atendimento de Menores: Exigir consentimento de responsável legal para menores de idade.,codigo-etica-2005.pdfEspecificacao_de_Requisitos_Base_Legal.md,Código de Ética Profissional do PsicólogoEspecificação de Requisitos - Conformidade Legal,Art. 8ºRegra RN-L03
RN-05,Propriedade dos Dados: O prontuário pertence ao paciente; o sistema é apenas operador.,Levantamento de Requisitos - Questionário Psicóloga.md,ERS - PsiSoft,Regra RN-01
RN-06,Exportação por Consentimento: Exportação para terceiros apenas mediante aval do titular.,Levantamento de Requisitos - Questionário Psicóloga.md,ERS - PsiSoft,Regra RN-02
REST-01,Custos Operacionais: Manter infraestrutura ao mínimo para viabilizar baixo custo de assinatura.,Levantamento de Requisitos - Questionário Psicóloga.md,ERS - PsiSoft,Restrição REST-01
REST-02,"Segregação em Equipes: Prontuário único, mas informações sigilosas restritas ao psicólogo responsável.",codigo-etica-2005.pdfEspecificacao_de_Requisitos_Base_Legal.md,Código de Ética Profissional do PsicólogoEspecificação de Requisitos - Conformidade Legal,Art. 12Regra RN-L02
REST-03,Bloqueio Pré-Contrato: Bloquear uso do portal sem aceite prévio no contrato digital e termos de uso.,Especificacao_de_Requisitos_Paciente.md,Especificação dos Requisitos do Sistema (Visão Pacientes),Requisito RD-P01